ã»[none]System.Void CinemachineExampleWindow::OnGUI():27(1)
[String::Format][System.Int32]System.String FluffyUnderware.Curvy.Generator.SamplePointUData::ToString():833(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.CGDataReference::get_Data():902(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor():124(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor():129(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor():134(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor():138(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor():142(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor(FluffyUnderware.Curvy.Generator.CGShape):124(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor(FluffyUnderware.Curvy.Generator.CGShape):129(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor(FluffyUnderware.Curvy.Generator.CGShape):134(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor(FluffyUnderware.Curvy.Generator.CGShape):138(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::.ctor(FluffyUnderware.Curvy.Generator.CGShape):142(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::Recalculate():317(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGShape::Recalculate():338(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGPath::.ctor():394(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGPath::.ctor(FluffyUnderware.Curvy.Generator.CGPath):394(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor():470(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor():474(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor():475(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor():476(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(System.Int32,FluffyUnderware.Curvy.Generator.CGShape):470(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(System.Int32,FluffyUnderware.Curvy.Generator.CGShape):474(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(System.Int32,FluffyUnderware.Curvy.Generator.CGShape):475(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(System.Int32,FluffyUnderware.Curvy.Generator.CGShape):476(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(System.Int32,FluffyUnderware.Curvy.Generator.CGShape):511(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(System.Int32,FluffyUnderware.Curvy.Generator.CGShape):512(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(System.Int32,FluffyUnderware.Curvy.Generator.CGShape):513(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGShape):470(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGShape):474(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGShape):475(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGShape):476(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGShape):521(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGShape):525(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGShape):526(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGVolume):470(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGVolume):474(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGVolume):475(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGVolume):476(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVolume::.ctor(FluffyUnderware.Curvy.Generator.CGVolume):536(1)
[none]FluffyUnderware.Curvy.Generator.CGVolume FluffyUnderware.Curvy.Generator.CGVolume::Get(FluffyUnderware.Curvy.Generator.CGVolume,FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGShape):552(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.Generator.CGVolume::GetSegmentVertices(System.Int32[]):769(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVSubMesh::.ctor(UnityEngine.Material):854(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVSubMesh::.ctor(System.Int32,UnityEngine.Material):878(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVSubMesh::.ctor(FluffyUnderware.Curvy.Generator.CGVSubMesh):854(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):929(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):930(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):931(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):932(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):933(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):934(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):965(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):967(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):969(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):971(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean):973(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(FluffyUnderware.Curvy.Generator.CGVolume,FluffyUnderware.DevTools.IntRegion):985(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(FluffyUnderware.Curvy.Generator.CGVolume,FluffyUnderware.DevTools.IntRegion):987(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(FluffyUnderware.Curvy.Generator.CGVMesh):929(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(FluffyUnderware.Curvy.Generator.CGVMesh):930(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(FluffyUnderware.Curvy.Generator.CGVMesh):931(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(FluffyUnderware.Curvy.Generator.CGVMesh):932(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(FluffyUnderware.Curvy.Generator.CGVMesh):933(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(FluffyUnderware.Curvy.Generator.CGVMesh):934(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(UnityEngine.Mesh,UnityEngine.Material[],UnityEngine.Matrix4x4):929(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(UnityEngine.Mesh,UnityEngine.Material[],UnityEngine.Matrix4x4):930(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(UnityEngine.Mesh,UnityEngine.Material[],UnityEngine.Matrix4x4):931(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(UnityEngine.Mesh,UnityEngine.Material[],UnityEngine.Matrix4x4):932(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(UnityEngine.Mesh,UnityEngine.Material[],UnityEngine.Matrix4x4):933(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGVMesh::.ctor(UnityEngine.Mesh,UnityEngine.Material[],UnityEngine.Matrix4x4):934(1)
[none]FluffyUnderware.Curvy.Generator.CGVMesh FluffyUnderware.Curvy.Generator.CGVMesh::Get(FluffyUnderware.Curvy.Generator.CGVMesh,FluffyUnderware.Curvy.Generator.CGVolume,FluffyUnderware.DevTools.IntRegion,System.Boolean,System.Boolean):1059(1)
[none]FluffyUnderware.Curvy.Generator.CGVMesh FluffyUnderware.Curvy.Generator.CGVMesh::Get(FluffyUnderware.Curvy.Generator.CGVMesh,FluffyUnderware.Curvy.Generator.CGVolume,FluffyUnderware.DevTools.IntRegion,System.Boolean,System.Boolean):1060(1)
[none]FluffyUnderware.Curvy.Generator.CGVMesh FluffyUnderware.Curvy.Generator.CGVMesh::Get(FluffyUnderware.Curvy.Generator.CGVMesh,FluffyUnderware.Curvy.Generator.CGVolume,FluffyUnderware.DevTools.IntRegion,System.Boolean,System.Boolean):1061(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGSpots::.ctor():1357(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGSpots::.ctor(System.Collections.Generic.List`1<FluffyUnderware.Curvy.Generator.CGSpot>[]):1370(1)
[String::Concat][System.Int32]FluffyUnderware.DevTools.PrefabPool FluffyUnderware.Curvy.Generator.CGModule::GetPrefabPool(UnityEngine.GameObject):603(1)
[Debug::Log]FluffyUnderware.Curvy.Generator.SlotInfo FluffyUnderware.Curvy.Generator.CGModule::getSlotInfo(System.Reflection.FieldInfo):875(1)
[String::Format][System.Int32]System.String FluffyUnderware.Curvy.Generator.CGModuleLink::ToString():98(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.CGModuleInputSlot::GetData(System.Int32,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):355(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.CGModuleInputSlot::GetData(System.Int32,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):408(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.CGModuleInputSlot::cloneData(FluffyUnderware.Curvy.Generator.CGData[]&):413(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGModuleOutputSlot::.ctor():428(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGModuleOutputSlot::ClearData():507(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGModuleOutputSlot::SetData(System.Collections.Generic.List`1<T>):513(1)
[Debug::Log]System.Void FluffyUnderware.Curvy.Generator.CGModuleOutputSlot::SetData(System.Collections.Generic.List`1<T>):517(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGModuleOutputSlot::SetData(FluffyUnderware.Curvy.Generator.CGData[]):524(1)
[none]System.Void FluffyUnderware.Curvy.Generator.OutputSlotInfo::.ctor(System.String,System.Type):608(1)
[none]UnityEngine.Component FluffyUnderware.Curvy.Generator.CGSplineResourceLoader::Create(FluffyUnderware.Curvy.Generator.CGModule,System.String):104(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGMeshResourceLoader::Destroy(FluffyUnderware.Curvy.Generator.CGModule,UnityEngine.Component,System.String,System.Boolean):182(1)
[none]UnityEngine.Component FluffyUnderware.Curvy.Generator.CGGameObjectResourceLoader::Create(FluffyUnderware.Curvy.Generator.CGModule,System.String):197(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGGameObjectResourceLoader::Destroy(FluffyUnderware.Curvy.Generator.CGModule,UnityEngine.Component,System.String,System.Boolean):215(1)
[none]UnityEngine.Vector2[] FluffyUnderware.Curvy.Generator.CGUtility::CalculateUV2(UnityEngine.Vector2[]):45(1)
[none]FluffyUnderware.Curvy.Generator.CurvyGenerator FluffyUnderware.Curvy.Generator.CurvyGenerator::Create():288(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildRasterizedPath::Refresh():214(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildRasterizedPath::Refresh():217(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildShapeExtrusion::Refresh():659(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildShapeExtrusion::Refresh():662(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildShapeExtrusion::Refresh():758(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildShapeExtrusion::Refresh():759(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeCaps::Refresh():206(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeCaps::Refresh():207(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeCaps::Refresh():221(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeCaps::Refresh():222(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeCaps::Refresh():255(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeCaps::Refresh():311(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.Generator.Modules.BuildVolumeCaps::applyMat(UnityEngine.Vector3[],UnityEngine.Matrix4x4,UnityEngine.Bounds&):348(1)
[none]FluffyUnderware.Curvy.ThirdParty.LibTessDotNet.ContourVertex[] FluffyUnderware.Curvy.Generator.Modules.BuildVolumeCaps::make2DSegment(FluffyUnderware.Curvy.Generator.CGVolume,System.Int32):377(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeMesh::Reset():154(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeMesh::Reset():155(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeMesh::Refresh():166(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeMesh::build(FluffyUnderware.Curvy.Generator.CGVMesh,FluffyUnderware.Curvy.Generator.CGVolume,FluffyUnderware.DevTools.IntRegion):277(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeMesh::.ctor():59(1)
[none]UnityEngine.GUIContent[] FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::get_BoundsNames():194(1)
[none]UnityEngine.GUIContent[] FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::get_BoundsNames():195(1)
[none]System.Int32[] FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::get_BoundsIndices():207(1)
[none]System.Int32[] FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::get_BoundsIndices():208(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::Clear():337(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::Refresh():343(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::Refresh():344(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::Refresh():400(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::Refresh():402(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.BuildVolumeSpots::Refresh():404(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.Modules.ConformPath::OnSlotDataRequest(FluffyUnderware.Curvy.Generator.CGModuleInputSlot,FluffyUnderware.Curvy.Generator.CGModuleOutputSlot,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):171(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.CreateGameObject::Refresh():139(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.CreateGameObject::Refresh():140(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.CreateMesh::Refresh():406(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.CreateMesh::Refresh():407(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.InputGameObject::Refresh():79(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.InputMesh::Refresh():79(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.InputMesh::.ctor():28(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.Modules.InputSplinePath::OnSlotDataRequest(FluffyUnderware.Curvy.Generator.CGModuleInputSlot,FluffyUnderware.Curvy.Generator.CGModuleOutputSlot,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):152(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.Modules.InputSplineShape::OnSlotDataRequest(FluffyUnderware.Curvy.Generator.CGModuleInputSlot,FluffyUnderware.Curvy.Generator.CGModuleOutputSlot,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):149(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.InputSpots::Refresh():88(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.Modules.ModifierMixPaths::OnSlotDataRequest(FluffyUnderware.Curvy.Generator.CGModuleInputSlot,FluffyUnderware.Curvy.Generator.CGModuleOutputSlot,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):110(1)
[none]FluffyUnderware.Curvy.Generator.CGPath FluffyUnderware.Curvy.Generator.Modules.ModifierMixPaths::MixPath(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGPath,System.Single):132(1)
[none]FluffyUnderware.Curvy.Generator.CGPath FluffyUnderware.Curvy.Generator.Modules.ModifierMixPaths::MixPath(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGPath,System.Single):133(1)
[none]FluffyUnderware.Curvy.Generator.CGPath FluffyUnderware.Curvy.Generator.Modules.ModifierMixPaths::MixPath(FluffyUnderware.Curvy.Generator.CGPath,FluffyUnderware.Curvy.Generator.CGPath,System.Single):134(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.Modules.ModifierMixShapes::OnSlotDataRequest(FluffyUnderware.Curvy.Generator.CGModuleInputSlot,FluffyUnderware.Curvy.Generator.CGModuleOutputSlot,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):123(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.Modules.ModifierMixShapes::OnSlotDataRequest(FluffyUnderware.Curvy.Generator.CGModuleInputSlot,FluffyUnderware.Curvy.Generator.CGModuleOutputSlot,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):131(1)
[none]System.Void FluffyUnderware.Curvy.Generator.Modules.ModifierTRSMesh::Refresh():34(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.Modules.ModifierTRSPath::OnSlotDataRequest(FluffyUnderware.Curvy.Generator.CGModuleInputSlot,FluffyUnderware.Curvy.Generator.CGModuleOutputSlot,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):62(1)
[none]FluffyUnderware.Curvy.Generator.CGData[] FluffyUnderware.Curvy.Generator.Modules.ModifierTRSShape::OnSlotDataRequest(FluffyUnderware.Curvy.Generator.CGModuleInputSlot,FluffyUnderware.Curvy.Generator.CGModuleOutputSlot,FluffyUnderware.Curvy.Generator.CGDataRequestParameter[]):59(1)
[none]UnityEngine.Vector3 KrablMesh.BaseMesh::CalculateFaceNormal(System.Int32):153(1)
[none]UnityEngine.BoneWeight KrablMesh.BaseMesh::CalculateFaceCenterBoneWeight(System.Int32):223(1)
[none]UnityEngine.BoneWeight KrablMesh.BaseMesh::CalculateFaceCenterBoneWeight(System.Int32):224(1)
[none]System.Void KrablMesh.BaseMesh::RebuildMesh(System.Int32[]&,System.Int32[]&,System.Boolean):732(1)
[none]System.Void KrablMesh.BaseMesh::RebuildMesh(System.Int32[]&,System.Int32[]&,System.Boolean):733(1)
[Debug::Log][System.Int32]System.Void KrablMesh.BaseMesh::RebuildMesh(System.Int32[]&,System.Int32[]&,System.Boolean):757(1)
[Debug::Log][System.Int32]System.Void KrablMesh.BaseMesh::RebuildMesh(System.Int32[]&,System.Int32[]&,System.Boolean):758(1)
[none]System.Boolean KrablMesh.Debugging::CheckMeshIntegrity(KrablMesh.MeshEdges):27(1)
[none]System.Single KrablMesh.Debugging::CalculateMinTriangleShape(KrablMesh.BaseMesh):91(1)
[none]System.Void KrablMesh.EditorDrawing::DrawMesh(KrablMesh.BaseMesh,UnityEngine.Transform):11(1)
[none]System.Void KrablMesh.EditorDrawing::DrawMeshEdges(KrablMesh.MeshEdges,UnityEngine.Transform,System.Single,UnityEngine.SkinnedMeshRenderer):34(1)
[none]UnityEngine.Matrix4x4[] KrablMesh.EditorDrawing::BoneMatricesFromBonesAndBindposes(UnityEngine.Matrix4x4[],UnityEngine.Transform[]):110(1)
[none]System.Void KrablMesh.ImportExport::MeshEdgesToUnityMesh(KrablMesh.MeshEdges,UnityEngine.Mesh):131(1)
[none]System.Void KrablMesh.ImportExport::MeshEdgesToUnityMesh(KrablMesh.MeshEdges,UnityEngine.Mesh):168(1)
[Debug::Log][System.Int32]System.Void KrablMesh.ImportExport::MeshEdgesToUnityMesh(KrablMesh.MeshEdges,UnityEngine.Mesh):250(1)
[none]System.Void KrablMesh.ImportExport::_calculateMeshTangents(UnityEngine.Mesh):300(1)
[none]System.Void KrablMesh.ImportExport::_calculateMeshTangents(UnityEngine.Mesh):301(1)
[none]System.Void KrablMesh.ImportExport::_calculateMeshTangents(UnityEngine.Mesh):302(1)
[none]System.Void KrablMesh.MeshEdges::GenerateEdgeList():147(1)
[none]System.Void KrablMesh.MeshEdges::RegenerateVertexLinkedEdges():173(1)
[none]System.Collections.Generic.List`1<System.Int32>[] KrablMesh.MeshEdges::CalculateFaceLinkedEdges():200(1)
[none]System.Void KrablMesh.MeshEdges::CalculateFaceVertexNormalsFromEdgeCreasesForVertex(System.Int32,System.Collections.Generic.List`1<System.Int32>[]&):265(1)
[Debug::Log][System.Int32]System.Void KrablMesh.MeshEdges::RebuildMesh(System.Boolean):408(1)
[none]System.Void KrablMesh.Ops::RemoveDoubleVertices(KrablMesh.BaseMesh):28(1)
[none]System.Void KrablMesh.Ops::TrisToQuads(KrablMesh.MeshEdges,System.Single):93(1)
[none]System.Void KrablMesh.Ops::Triangulate(KrablMesh.BaseMesh):185(1)
[none]System.Void KrablMesh.PlaneDistanceError::.ctor():7(1)
[none]System.Void KrablMesh.PlaneDistanceError::.ctor(KrablMesh.PlaneDistanceError):7(1)
[none]System.Void KrablMesh.PlaneDistanceError::.ctor(System.Double,System.Double,System.Double,System.Double,System.Double):7(1)
[none]System.Void KrablMesh.VertexPair::.ctor(System.Int32,System.Int32):43(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32):86(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32):90(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32):92(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32):93(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32,System.Int32,System.Int32):86(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32,System.Int32,System.Int32):90(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32,System.Int32,System.Int32):92(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32,System.Int32,System.Int32):93(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32,System.Int32,System.Int32,System.Int32):86(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32,System.Int32,System.Int32,System.Int32):90(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32,System.Int32,System.Int32,System.Int32):92(1)
[none]System.Void KrablMesh.Face::.ctor(System.Int32,System.Int32,System.Int32,System.Int32):93(1)
[none]System.Void KrablMesh.IndexList::.ctor(System.Int32):197(1)
[String::Concat][System.Int32]System.Void KrablMesh.Simplify::Execute(KrablMesh.MeshEdges&,KrablMesh.SimplifyParameters):155(1)
[String::Concat][System.Int32]System.Void KrablMesh.Simplify::Execute(KrablMesh.MeshEdges&,KrablMesh.SimplifyParameters):176(1)
[none]System.Void KrablMesh.Simplify::InitializeCollapsing(KrablMesh.MeshEdges,KrablMesh.SimplifyParameters):201(1)
[String::Concat][System.Int32]System.Void KrablMesh.Simplify::InitializeCollapsing(KrablMesh.MeshEdges,KrablMesh.SimplifyParameters):214(1)
[none]System.Void KrablMesh.Simplify::_calculatePdePerVertex():325(1)
[none]System.Void KrablMesh.SubdivideQ::Subdivide(KrablMesh.MeshEdges&):107(1)
[none]System.Void KrablMesh.SubdivideQ::_calculateVertexPositions(KrablMesh.MeshEdges):263(1)
[none]System.Void KrablMesh.SubdivideQ::_calculateVertexPositions(KrablMesh.MeshEdges):264(1)
[none]System.Void KrablMesh.SubdivideQ::_calculateVertexPositions(KrablMesh.MeshEdges):265(1)
[none]System.Void KrablMesh.SubdivideQ::_calculateVertexPositions(KrablMesh.MeshEdges):272(1)
[none]UnityEngine.BoneWeight KrablMesh.UnityUtils::BoneWeightLerp(UnityEngine.BoneWeight,UnityEngine.BoneWeight,System.Single):14(1)
[none]UnityEngine.BoneWeight KrablMesh.UnityUtils::BoneWeightLerp(UnityEngine.BoneWeight,UnityEngine.BoneWeight,System.Single):16(1)
[none]UnityEngine.BoneWeight KrablMesh.UnityUtils::BoneWeightBaricentricInterpolation(UnityEngine.BoneWeight,UnityEngine.BoneWeight,UnityEngine.BoneWeight,System.Single,System.Single,System.Single):57(1)
[none]UnityEngine.BoneWeight KrablMesh.UnityUtils::BoneWeightBaricentricInterpolation(UnityEngine.BoneWeight,UnityEngine.BoneWeight,UnityEngine.BoneWeight,System.Single,System.Single,System.Single):60(1)
[none]System.Single KrablMesh.UnityUtils::BoneWeightDeltaSqr(UnityEngine.BoneWeight,UnityEngine.BoneWeight):100(1)
[none]System.Single KrablMesh.UnityUtils::BoneWeightDeltaSqr(UnityEngine.BoneWeight,UnityEngine.BoneWeight):102(1)
[Debug::Log][System.Int32]System.Void MoreFun.ModifyResolution::Init():25(1)
[find:Update, Assets.Scripts.Profiler.MFUploadData::GetPostString][String::Concat]System.String Assets.Scripts.Profiler.MFUploadData::GetPostString(System.String,System.String,System.String):30(1)
[find:Update, Assets.Scripts.Profiler.MFUploadData::GetPostString][String::Concat]System.String Assets.Scripts.Profiler.MFUploadData::GetPostString(System.String,System.String,System.String):40(1)
[find:Update, Assets.Scripts.Profiler.MFUploadData::GetCsvInfo][String::Concat]System.String Assets.Scripts.Profiler.MFUploadData::GetCsvInfo():56(1)
